k_values,MSRE,r2_score
1,0.051497656983309145,0.6441144259926286
2,0.04271810230958745,0.704787416524979
3,0.040501309103426995,0.7201070401514627
4,0.039934644166692665,0.7240230994072248
5,0.041142983208738715,0.7156726139916756
6,0.04360253069318786,0.6986753849995824
7,0.04699991998482062,0.6751969995932114
8,0.05155431985001526,0.6437228451319859
9,0.05653453847453796,0.6093059790511676
10,0.06235740319817807,0.5690658268591644
11,0.06831573327208182,0.5278895123879277
12,0.07434723878293897,0.48620750340729124
13,0.07995671437024009,0.44744202248620735
14,0.08501261939000143,0.41250210938166176
15,0.08932445411123438,0.38270425323282276
16,0.09282745804021426,0.35849599528393894
17,0.09596092240569118,0.336841519533696
18,0.09865613435873728,0.3182156808223887
19,0.10091966131235844,0.30257309363766083
20,0.10294838230184579,0.28855318329341917
21,0.10487305651588916,0.27525231044664067
22,0.1068069388676618,0.2618878027944499
23,0.10862155650453423,0.24934749946547408
24,0.11020782322409113,0.23838526399520277
25,0.11173162324363153,0.227854718017114
26,0.11339810883889109,0.21633811284736448
27,0.11482462371669494,0.20647987665068046
28,0.11618534578632907,0.1970763157280312
29,0.11747885273944861,0.18813725924546776
30,0.11876292581640954,0.17926339758201848
31,0.11991335497805049,0.17131311078201694
32,0.12089874915576813,0.16450333353964208
33,0.121786768644008,0.15836648491749206
34,0.12252344744190727,0.1532755085079358
35,0.12321253309496215,0.14851343470607015
36,0.12378663047174965,0.1445460119835109
37,0.12425060464850604,0.14133961919028026
38,0.1247392446499036,0.13796276793981088
39,0.12523957683175138,0.1345051153753657
40,0.12574321927817542,0.1310245865194959
41,0.12622569563177347,0.12769033047555822
42,0.12680204714770626,0.12370733004227152
43,0.1273162691268626,0.12015368906247759
44,0.1277972420446785,0.11682982283309984
45,0.12828023197524255,0.11349201760568373
46,0.12862578843949357,0.11110397574444342
47,0.12885825102830858,0.10949749330034919
48,0.12915610705179043,0.1074390955382386
49,0.12930548375960005,0.10640679584702362
