k_values,MSRE,r2_score
1,0.21688753372477054,-0.49884769436598164
2,0.1994850484470745,-0.3785840974373875
3,0.15975311513672844,-0.10400807357754438
4,0.17873050595494294,-0.2351553921184919
5,0.17100812837190787,-0.18178825000305854
6,0.1669780150640812,-0.15393728994218625
7,0.1607130426651836,-0.11064185809283744
8,0.1605103702484123,-0.10924124700481253
9,0.16150819339499822,-0.11613691729512654
10,0.16162732047265185,-0.11696017044670803
11,0.16073371232578393,-0.11078470020368658
12,0.16192615473927371,-0.11902532856728554
13,0.15995191885650875,-0.105381949207493
14,0.1572469679057972,-0.08668880706963278
15,0.1571523364560113,-0.0860348361940817
16,0.15725048774509126,-0.08671313167197314
17,0.15732792017066255,-0.08724824501179285
18,0.1564418526135176,-0.08112488562699482
19,0.15558033483694642,-0.07517118275208645
20,0.15516000936374574,-0.07226643366129903
21,0.15511390077321618,-0.07194779038374954
22,0.15568052932523127,-0.07586359819512656
23,0.1542251061798274,-0.06580558523167168
24,0.15385856204000584,-0.06327250354910685
25,0.1525206330433805,-0.054026459032956664
26,0.15234800796394837,-0.052833496496783594
27,0.1524416064354444,-0.053480328754906825
28,0.1536578041273146,-0.061885123051042656
29,0.15286215106967227,-0.05638659240485144
30,0.15262405866971354,-0.05474120394662396
31,0.1524456682693422,-0.053508398926889855
32,0.15185437779313177,-0.04942215961313923
33,0.15194345295138334,-0.0500377325475434
34,0.15154694906478808,-0.04729760762646529
35,0.1514067927970683,-0.04632902775875691
36,0.1509103095426404,-0.042897974030537966
37,0.1505290111847561,-0.04026293016810145
38,0.15006761942352032,-0.037074383709708725
39,0.1497283429699998,-0.03472974120592487
40,0.1495537063901785,-0.033522877766049675
41,0.1497558661236456,-0.03491994584643732
42,0.14970889165948206,-0.034595318763928296
43,0.14919474959523563,-0.03104223005321316
44,0.14889322622994638,-0.028958488341092714
45,0.14900999681472055,-0.029765456444573513
46,0.14891126400384305,-0.029083142235911907
47,0.14885516115760752,-0.02869543151652021
48,0.14879809974115946,-0.02830109639263534
49,0.14856714580238073,-0.02670503979731942
